year ,stream,sem,Course code ,Course,CO,CO Description,yr+stream+ course,course+co+ code
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO1,Describe the satellite orbits and its trajectories with the definitions of parameters associated with it.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO1[Describe the satellite orbits and its trajectories with the definitions of parameters associated with it.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO2,Describe the electronic hardware systems associated with the satellite subsystem and earth station.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO2[Describe the electronic hardware systems associated with the satellite subsystem and earth station.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO3,Describe the communication satellites with the focus on national satellite system.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO3[Describe the communication satellites with the focus on national satellite system.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO4,Compute the satellite link parameters under various propagation conditions with the illustration of multiple access techniques.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO4[Compute the satellite link parameters under various propagation conditions with the illustration of multiple access techniques.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO5,"Describe the satellites used for applications in remote sensing, weather forecasting and navigation.","4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO5[Describe the satellites used for applications in remote sensing, weather forecasting and navigation.](21EC751)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO1,"Solve the time complexity of recursive, non-recursive and brute force algorithms using asymptotic notations. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO1[Solve the time complexity of recursive, non-recursive and brute force algorithms using asymptotic notations. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO2,"Solve the recurrence relation to obtain the performance of divide-and-conquer, decrease-and conquer approach. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO2[Solve the recurrence relation to obtain the performance of divide-and-conquer, decrease-and conquer approach. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO3,"Apply greedy technique, transform and conquer strategy to solve the problem for optimal solution. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO3[Apply greedy technique, transform and conquer strategy to solve the problem for optimal solution. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO4,Determine the time complexity for Dynamic-Programming paradigm and String-matching techniques. ,2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS, DESIGN AND ANALYSIS OF ALGORITHMS-CO4[Determine the time complexity for Dynamic-Programming paradigm and String-matching techniques. ](CS422T4C)
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO5,"Apply backtracking and branch-and-bound approach on combinatorial problems and categorize algorithms as P, NP, NP-complete and NP-hard classes. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO5[Apply backtracking and branch-and-bound approach on combinatorial problems and categorize algorithms as P, NP, NP-complete and NP-hard classes. ](CS422T4C)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO1,"To introduce the concepts of solar energy, its radiation, collection, storage and application.",4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES ," NON CONVENTIONAL ENERGY RESOURCES -CO1[To introduce the concepts of solar energy, its radiation, collection, storage and application.](21ME742)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO2,"To introduce the concepts and applications of Wind energy, Biomass energy, Geothermal energy and Ocean energy as alternative energy sources",4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES ," NON CONVENTIONAL ENERGY RESOURCES -CO2[To introduce the concepts and applications of Wind energy, Biomass energy, Geothermal energy and Ocean energy as alternative energy sources](21ME742)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO3,To explore society’s present needs and future energy demands,4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES , NON CONVENTIONAL ENERGY RESOURCES -CO3[To explore society’s present needs and future energy demands](21ME742)
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO4,"To examine energy sources and systems, including fossil fuels and nuclear energy, and then focus on alternate, renewable energy sources such as solar, biomass (conversions), wind power, geothermal, etc.",4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES ," NON CONVENTIONAL ENERGY RESOURCES -CO4[To examine energy sources and systems, including fossil fuels and nuclear energy, and then focus on alternate, renewable energy sources such as solar, biomass (conversions), wind power, geothermal, etc.](21ME742)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO5,To get exposed to energy conservation methods,4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES , NON CONVENTIONAL ENERGY RESOURCES -CO5[To get exposed to energy conservation methods](21ME742)
3rd,ME,5th ,21MEL66,3D Printing Lab ,CO1,"Understand the operations of FDM and SLA 3D printers, and also their respective mechanisms, software interfaces, and calibration processes to produce precise and accurate prints. ",3rd 5th  21MEL66 3D Printing Lab ,"3D Printing Lab -CO1[Understand the operations of FDM and SLA 3D printers, and also their respective mechanisms, software interfaces, and calibration processes to produce precise and accurate prints. ](21MEL66)"
3rd,ME,5th ,21MEL67,3D Printing Lab ,CO2,"Create and modify 3D models optimized for FDM and SLA printing, applying design principles to ensure structural integrity and appropriate resolution for different applications.",3rd 5th  21MEL67 3D Printing Lab ,"3D Printing Lab -CO2[Create and modify 3D models optimized for FDM and SLA printing, applying design principles to ensure structural integrity and appropriate resolution for different applications.](21MEL67)"
3rd,ME,5th ,21MEL68,3D Printing Lab ,CO3,"Acquire troubleshooting skills to diagnose and address common printing issues, as well as the ability to fine-tune print parameters to enhance efficiency, print quality, and material usage.",3rd 5th  21MEL68 3D Printing Lab ,"3D Printing Lab -CO3[Acquire troubleshooting skills to diagnose and address common printing issues, as well as the ability to fine-tune print parameters to enhance efficiency, print quality, and material usage.](21MEL68)"
3rd,ME,5th ,21MEL69,3D Printing Lab ,CO4,"Analyze the properties and behaviors of various printing materials used in FDM and SLA technologies, as well as the post-processing techniques necessary to refine and finish printed objects.",3rd 5th  21MEL69 3D Printing Lab ,"3D Printing Lab -CO4[Analyze the properties and behaviors of various printing materials used in FDM and SLA technologies, as well as the post-processing techniques necessary to refine and finish printed objects.](21MEL69)"
3rd,ME,5th ,21MEL70,3D Printing Lab ,CO5,"Explore innovative applications of 3D printing, experimenting with complex geometries, multimaterial prints, and design enhancements to expand their understanding of the technology's potential in various industries.",3rd 5th  21MEL70 3D Printing Lab ,"3D Printing Lab -CO5[Explore innovative applications of 3D printing, experimenting with complex geometries, multimaterial prints, and design enhancements to expand their understanding of the technology's potential in various industries.](21MEL70)"
2nd ,ISE,4th,MA422T6CA,ADVANCED GRAPH THEORY,CO1,Illustrate the Properties of Graphs and Subgraphs.,2nd  4th MA422T6CA ADVANCED GRAPH THEORY,ADVANCED GRAPH THEORY-CO1[Illustrate the Properties of Graphs and Subgraphs.](MA422T6CA)
2nd ,ISE,4th,MA422T6CA,ADVANCED GRAPH THEORY,CO2,Classify the relationship between the properties of a matrix representation and the structure of the underlying graph.,2nd  4th MA422T6CA ADVANCED GRAPH THEORY,ADVANCED GRAPH THEORY-CO2[Classify the relationship between the properties of a matrix representation and the structure of the underlying graph.](MA422T6CA)
2nd ,ISE,4th,MA422T6CA,ADVANCED GRAPH THEORY,CO3,Solve complex problems using properties of trees in Computer science.,2nd  4th MA422T6CA ADVANCED GRAPH THEORY,ADVANCED GRAPH THEORY-CO3[Solve complex problems using properties of trees in Computer science.](MA422T6CA)
2nd ,ISE,4th,MA422T6CA,ADVANCED GRAPH THEORY,CO4,Apply critical analysis to construct and interpret planar graphs and their duals in mathematical and engineering contexts.     ,2nd  4th MA422T6CA ADVANCED GRAPH THEORY,ADVANCED GRAPH THEORY-CO4[Apply critical analysis to construct and interpret planar graphs and their duals in mathematical and engineering contexts.     ](MA422T6CA)
2nd ,ISE,4th,MA422T6CA,ADVANCED GRAPH THEORY,CO5,Develop advanced graph algorithms to optimize electrical networks.,2nd  4th MA422T6CA ADVANCED GRAPH THEORY,ADVANCED GRAPH THEORY-CO5[Develop advanced graph algorithms to optimize electrical networks.](MA422T6CA)
3rd,ME,5th ,21ME53(A),Advanced Manufacturing Technology,CO1,Understand the compare traditional and non-traditional machining process and recognize the need for non-traditional machining process.,3rd 5th  21ME53(A) Advanced Manufacturing Technology,Advanced Manufacturing Technology-CO1[Understand the compare traditional and non-traditional machining process and recognize the need for non-traditional machining process.](21ME53(A))
3rd,ME,5th ,21ME53(A),Advanced Manufacturing Technology,CO2,"Understand the constructional features, performance parameters, process characteristics, applications, advantages and limitations of USM, AJM and WJM",3rd 5th  21ME53(A) Advanced Manufacturing Technology,"Advanced Manufacturing Technology-CO2[Understand the constructional features, performance parameters, process characteristics, applications, advantages and limitations of USM, AJM and WJM](21ME53(A))"
3rd,ME,5th ,21ME53(A),Advanced Manufacturing Technology,CO3,"Identify the need of Chemical and electro-chemical machining process along with the constructional features, process parameters, process characteristics, applications, advantages and limitations",3rd 5th  21ME53(A) Advanced Manufacturing Technology,"Advanced Manufacturing Technology-CO3[Identify the need of Chemical and electro-chemical machining process along with the constructional features, process parameters, process characteristics, applications, advantages and limitations](21ME53(A))"
3rd,ME,5th ,21ME53(A),Advanced Manufacturing Technology,CO4,"Understand the constructional feature of the equipment, process parameters, process characteristics, applications, advantages and limitations EDM & PAM",3rd 5th  21ME53(A) Advanced Manufacturing Technology,"Advanced Manufacturing Technology-CO4[Understand the constructional feature of the equipment, process parameters, process characteristics, applications, advantages and limitations EDM & PAM](21ME53(A))"
3rd,ME,5th ,21ME53(A),Advanced Manufacturing Technology,CO5,"Understand the LBM equipment, LBM parameters, and characteristics. EBM equipment and mechanism of metal removal, applications, advantages and limitations LBM & EBM",3rd 5th  21ME53(A) Advanced Manufacturing Technology,"Advanced Manufacturing Technology-CO5[Understand the LBM equipment, LBM parameters, and characteristics. EBM equipment and mechanism of metal removal, applications, advantages and limitations LBM & EBM](21ME53(A))"
4th,ECE,7th,21EC71,Advanced VLSI,CO1,"Apply design automation for complex circuits using the different implementation methodology like custom versus semi-custom, hardwired versus fixed, regular array versus ad-hoc.",4th 7th 21EC71 Advanced VLSI,"Advanced VLSI-CO1[Apply design automation for complex circuits using the different implementation methodology like custom versus semi-custom, hardwired versus fixed, regular array versus ad-hoc.](21EC71)"
4th,ECE,7th,21EC71,Advanced VLSI,CO2,"Use the approaches to minimize the impact of interconnect parasitics on performance, power dissipation and circuit reliability",4th 7th 21EC71 Advanced VLSI,"Advanced VLSI-CO2[Use the approaches to minimize the impact of interconnect parasitics on performance, power dissipation and circuit reliability](21EC71)"
4th,ECE,7th,21EC71,Advanced VLSI,CO3,"Interpret the ordering of the switching events to meet the desired timing constraints using synchronous, clocked approach.",4th 7th 21EC71 Advanced VLSI,"Advanced VLSI-CO3[Interpret the ordering of the switching events to meet the desired timing constraints using synchronous, clocked approach.](21EC71)"
4th,ECE,7th,21EC71,Advanced VLSI,CO4,Infer the reliability of the memory,4th 7th 21EC71 Advanced VLSI,Advanced VLSI-CO4[Infer the reliability of the memory](21EC71)
4th,ECE,7th,21EC71,Advanced VLSI,CO5,"Understand the role of peripheral circuitry such as the decoders, sense amplifiers, drivers and control circuitry in the design of reliable and fast memories",4th 7th 21EC71 Advanced VLSI,"Advanced VLSI-CO5[Understand the role of peripheral circuitry such as the decoders, sense amplifiers, drivers and control circuitry in the design of reliable and fast memories](21EC71)"
2nd ,RA,3rd,EC422I1R,ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,CO1,Identify the types of transducers and measurement system for measuring applications. ,2nd  3rd EC422I1R ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO1[Identify the types of transducers and measurement system for measuring applications. ](EC422I1R)
2nd ,RA,3rd,EC422I1R,ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,CO2,"Organize the DAQ systems using sensor, timers and counters. ",2nd  3rd EC422I1R ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,"ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO2[Organize the DAQ systems using sensor, timers and counters. ](EC422I1R)"
2nd ,RA,3rd,EC422I1R,ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,CO3,Analyze the Virtual instrumentation using in VI software. ,2nd  3rd EC422I1R ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO3[Analyze the Virtual instrumentation using in VI software. ](EC422I1R)
2nd ,RA,3rd,EC422I1R,ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,CO4,Distinguish the open and closed type of controllers and time domain control systems. ,2nd  3rd EC422I1R ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO4[Distinguish the open and closed type of controllers and time domain control systems. ](EC422I1R)
2nd ,RA,3rd,EC422I1R,ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,CO5,"Analyze the control systems with the aid of block diagram reduction, signal flow graphs, and frequency response diagrams. ",2nd  3rd EC422I1R ANALOG AND DIGITAL ELECTRONICS CIRCUITS ,"ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO5[Analyze the control systems with the aid of block diagram reduction, signal flow graphs, and frequency response diagrams. ](EC422I1R)"
2nd ,ECE,3rd,EC322I3E,Analog Electronic Circuits ,CO1,Demonstrate the use of BJT s in simple amplifier circuits by constructing the basic amplifier circuit and observing its operation.,2nd  3rd EC322I3E Analog Electronic Circuits ,Analog Electronic Circuits -CO1[Demonstrate the use of BJT s in simple amplifier circuits by constructing the basic amplifier circuit and observing its operation.](EC322I3E)
2nd ,ECE,3rd,EC322I3E,Analog Electronic Circuits ,CO2,Design and analyze the FET amplifiers with different circuit configurations and biasing conditions.,2nd  3rd EC322I3E Analog Electronic Circuits ,Analog Electronic Circuits -CO2[Design and analyze the FET amplifiers with different circuit configurations and biasing conditions.](EC322I3E)
2nd ,ECE,3rd,EC322I3E,Analog Electronic Circuits ,CO3,Interpret the output stages of the amplifier and calculate its power conversion efficiency,2nd  3rd EC322I3E Analog Electronic Circuits ,Analog Electronic Circuits -CO3[Interpret the output stages of the amplifier and calculate its power conversion efficiency](EC322I3E)
2nd ,ECE,3rd,EC322I3E,Analog Electronic Circuits ,CO4,Interpret the given amplifier circuit using one of the feedback topologies and perform standard measurements.,2nd  3rd EC322I3E Analog Electronic Circuits ,Analog Electronic Circuits -CO4[Interpret the given amplifier circuit using one of the feedback topologies and perform standard measurements.](EC322I3E)
2nd ,ECE,3rd,EC322I3E,Analog Electronic Circuits ,CO5,"Design of circuits using linear IC s for a wide range of applications such as ADC, DAC filters and timers.",2nd  3rd EC322I3E Analog Electronic Circuits ,"Analog Electronic Circuits -CO5[Design of circuits using linear IC s for a wide range of applications such as ADC, DAC filters and timers.](EC322I3E)"
2nd ,ECE,3rd,EC322I2E,Analysis and Design of Digital Circuits,CO1,"Apply the knowledge of digital electronics to construct the combinational circuits using SOP and POS expressions and simplify the Boolean functions using K-map, Quine - McCluskey minimization Technique and MEV Techniques.",2nd  3rd EC322I2E Analysis and Design of Digital Circuits,"Analysis and Design of Digital Circuits-CO1[Apply the knowledge of digital electronics to construct the combinational circuits using SOP and POS expressions and simplify the Boolean functions using K-map, Quine - McCluskey minimization Technique and MEV Techniques.](EC322I2E)"
2nd ,ECE,3rd,EC322I2E,Analysis and Design of Digital Circuits,CO2,"Construct combinational logic circuits like Multiplexers, Encoders, Decoders, Adders, Subtractors and Comparators.",2nd  3rd EC322I2E Analysis and Design of Digital Circuits,"Analysis and Design of Digital Circuits-CO2[Construct combinational logic circuits like Multiplexers, Encoders, Decoders, Adders, Subtractors and Comparators.](EC322I2E)"
2nd ,ECE,3rd,EC322I2E,Analysis and Design of Digital Circuits,CO3,Demonstrate building blocks of sequential logic circuits.,2nd  3rd EC322I2E Analysis and Design of Digital Circuits,Analysis and Design of Digital Circuits-CO3[Demonstrate building blocks of sequential logic circuits.](EC322I2E)
2nd ,ECE,3rd,EC322I2E,Analysis and Design of Digital Circuits,CO4,Design shift registers and synchronous counters using flip-flops.,2nd  3rd EC322I2E Analysis and Design of Digital Circuits,Analysis and Design of Digital Circuits-CO4[Design shift registers and synchronous counters using flip-flops.](EC322I2E)
2nd ,ECE,3rd,EC322I2E,Analysis and Design of Digital Circuits,CO5,Develop Mealy/Moore FSM Models and state diagrams for the given sequential circuits.,2nd  3rd EC322I2E Analysis and Design of Digital Circuits,Analysis and Design of Digital Circuits-CO5[Develop Mealy/Moore FSM Models and state diagrams for the given sequential circuits.](EC322I2E)
3rd,ECE,5th ,21EC592,Antenna Design & Testing,CO1,Build radiation patterns of various antennas.,3rd 5th  21EC592 Antenna Design & Testing,Antenna Design & Testing-CO1[Build radiation patterns of various antennas.](21EC592)
3rd,ECE,5th ,21EC592,Antenna Design & Testing,CO2,Analyze the parameters of the microstrip antenna.,3rd 5th  21EC592 Antenna Design & Testing,Antenna Design & Testing-CO2[Analyze the parameters of the microstrip antenna.](21EC592)
3rd,ECE,5th ,21EC592,Antenna Design & Testing,CO3,Construct 2-D and 3-D radiation patterns of the omnidirectional antenna using modern tools.,3rd 5th  21EC592 Antenna Design & Testing,Antenna Design & Testing-CO3[Construct 2-D and 3-D radiation patterns of the omnidirectional antenna using modern tools.](21EC592)
3rd,ECE,5th ,21EC592,Antenna Design & Testing,CO4,Develop the radiation pattern of the array antenna.,3rd 5th  21EC592 Antenna Design & Testing,Antenna Design & Testing-CO4[Develop the radiation pattern of the array antenna.](21EC592)
3rd,ECE,5th ,21EC592,Antenna Design & Testing,CO5,Demonstration of microstrip antenna using modern tools.,3rd 5th  21EC592 Antenna Design & Testing,Antenna Design & Testing-CO5[Demonstration of microstrip antenna using modern tools.](21EC592)
4th,RA,7th,21ARL75 ,Applied Artificial Intelligence Lab  ,CO1,Apply the good programming skills to formulate the solutions for computational problems.,4th 7th 21ARL75  Applied Artificial Intelligence Lab  ,Applied Artificial Intelligence Lab  -CO1[Apply the good programming skills to formulate the solutions for computational problems.](21ARL75 )
4th,RA,7th,21ARL75 ,Applied Artificial Intelligence Lab  ,CO2,Design and develop solutions for informed and uninformed search problems in AI.,4th 7th 21ARL75  Applied Artificial Intelligence Lab  ,Applied Artificial Intelligence Lab  -CO2[Design and develop solutions for informed and uninformed search problems in AI.](21ARL75 )
4th,RA,7th,21ARL75 ,Applied Artificial Intelligence Lab  ,CO3,Utilize advanced package like NLTK for implementing artificial intelligence.,4th 7th 21ARL75  Applied Artificial Intelligence Lab  ,Applied Artificial Intelligence Lab  -CO3[Utilize advanced package like NLTK for implementing artificial intelligence.](21ARL75 )
4th,RA,7th,21ARL75 ,Applied Artificial Intelligence Lab  ,CO4,Demonstrate and enrich knowledge to select and apply AI tools to synthesize information and develop models within constraints of application area,4th 7th 21ARL75  Applied Artificial Intelligence Lab  ,Applied Artificial Intelligence Lab  -CO4[Demonstrate and enrich knowledge to select and apply AI tools to synthesize information and develop models within constraints of application area](21ARL75 )
4th,RA,7th,21ARL75 ,Applied Artificial Intelligence Lab  ,CO5,Develop a minor project in multidisciplinary areas to demonstrate team work through reports and presentation,4th 7th 21ARL75  Applied Artificial Intelligence Lab  ,Applied Artificial Intelligence Lab  -CO5[Develop a minor project in multidisciplinary areas to demonstrate team work through reports and presentation](21ARL75 )
1st,CS,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO1,Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO1[Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve](MA122I1X)
1st,CS,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO2," Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.",1st Chemistry Cycle MA122I1X Applied Mathematics I,"Applied Mathematics I-CO2[ Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.](MA122I1X)"
1st,CS,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO3,Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO3[Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes](MA122I1X)
1st,CS,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO4,Illustrate the solution of first-order linear and nonlinear differential equations .,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO4[Illustrate the solution of first-order linear and nonlinear differential equations .](MA122I1X)
1st,CS,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO5,Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO5[Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.](MA122I1X)
1st,ECE,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO1,Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO1[Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve](MA122I1X)
1st,ECE,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO2," Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.",1st Chemistry Cycle MA122I1X Applied Mathematics I,"Applied Mathematics I-CO2[ Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.](MA122I1X)"
1st,ECE,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO3,Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO3[Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes](MA122I1X)
1st,ECE,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO4,Illustrate the solution of first-order linear and nonlinear differential equations .,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO4[Illustrate the solution of first-order linear and nonlinear differential equations .](MA122I1X)
1st,ECE,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO5,Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO5[Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.](MA122I1X)
1st,MERA,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO1,Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO1[Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve](MA122I1X)
1st,MERA,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO2," Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.",1st Chemistry Cycle MA122I1X Applied Mathematics I,"Applied Mathematics I-CO2[ Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.](MA122I1X)"
1st,MERA,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO3,Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO3[Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes](MA122I1X)
1st,MERA,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO4,Illustrate the solution of first-order linear and nonlinear differential equations .,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO4[Illustrate the solution of first-order linear and nonlinear differential equations .](MA122I1X)
1st,MERA,Chemistry Cycle,MA122I1X,Applied Mathematics I,CO5,Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.,1st Chemistry Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO5[Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.](MA122I1X)
1st,CS,Physics Cycle,MA122I1X,Applied Mathematics I,CO1,Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO1[Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve](MA122I1X)
1st,CS,Physics Cycle,MA122I1X,Applied Mathematics I,CO2," Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.",1st Physics Cycle MA122I1X Applied Mathematics I,"Applied Mathematics I-CO2[ Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.](MA122I1X)"
1st,CS,Physics Cycle,MA122I1X,Applied Mathematics I,CO3,Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO3[Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes](MA122I1X)
1st,CS,Physics Cycle,MA122I1X,Applied Mathematics I,CO4,Illustrate the solution of first-order linear and nonlinear differential equations .,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO4[Illustrate the solution of first-order linear and nonlinear differential equations .](MA122I1X)
1st,CS,Physics Cycle,MA122I1X,Applied Mathematics I,CO5,Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO5[Make use of matrix theory for solving systems of linear equations and compute eigenvalues and eigenvectors of matrices.](MA122I1X)
1st,ECE,Physics Cycle,MA122I1X,Applied Mathematics I,CO1,Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO1[Apply the knowledge of calculus to solve polar curves problems and their applications in determining the bentness of a curve](MA122I1X)
1st,ECE,Physics Cycle,MA122I1X,Applied Mathematics I,CO2,"Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.",1st Physics Cycle MA122I1X Applied Mathematics I,"Applied Mathematics I-CO2[Solve derivatives of multivariate functions problems , composite functions and Jacobians using principle of Partial differentiation.](MA122I1X)"
1st,ECE,Physics Cycle,MA122I1X,Applied Mathematics I,CO3,Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO3[Apply the concept of change of order of integration and variables to evaluate multiple integrals and their usage in computing the area and volumes](MA122I1X)
1st,ECE,Physics Cycle,MA122I1X,Applied Mathematics I,CO4,Illustrate the solution of first-order linear and nonlinear differential equations .,1st Physics Cycle MA122I1X Applied Mathematics I,Applied Mathematics I-CO4[Illustrate the solution of first-order linear and nonlinear differential equations .](MA122I1X)
